Node <1> Time <0.025> Event <sendPacket>[]:
Node <2> Time <0.025> Event <sendPacket>[]:
Node <3> Time <0.025> Event <sendPacket>[]:
Node <2> Time <0.054> Event <PacketSent>[]:
Node <1> Time <0.055> Event <PacketReceived>[]:
Node <3> Time <0.055> Event <PacketReceived>[]:
Node <3> Time <0.079> Event <PacketSent>[]:
Node <1> Time <0.079> Event <PacketReceived>[]:
Node <2> Time <0.079> Event <PacketReceived>[]:
Node <1> Time <0.105> Event <PacketSent>[]:
Node <2> Time <0.105> Event <PacketReceived>[]:
Node <3> Time <0.105> Event <PacketReceived>[]:
Node <1> Time <61.000> Event <Results>[ 61	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <62.000> Event <Results>[ 62	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <63.000> Event <Results>[ 63	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <64.000> Event <Results>[ 64	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <65.000> Event <Results>[ 65	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <66.000> Event <Results>[ 66	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <67.000> Event <Results>[ 67	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <68.000> Event <Results>[ 68	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <69.000> Event <Results>[ 69	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <70.000> Event <Results>[ 70	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <71.000> Event <Results>[ 71	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <72.000> Event <Results>[ 72	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <73.000> Event <Results>[ 73	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <74.000> Event <Results>[ 74	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <75.000> Event <Results>[ 75	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <76.000> Event <Results>[ 76	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <77.000> Event <Results>[ 77	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <78.000> Event <Results>[ 78	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <79.000> Event <Results>[ 79	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <80.000> Event <Results>[ 80	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <81.000> Event <Results>[ 81	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <82.000> Event <Results>[ 82	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <83.000> Event <Results>[ 83	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <84.000> Event <Results>[ 84	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <85.000> Event <Results>[ 85	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <86.000> Event <Results>[ 86	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <87.000> Event <Results>[ 87	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <88.000> Event <Results>[ 88	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <89.000> Event <Results>[ 89	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <90.000> Event <Results>[ 90	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <91.000> Event <Results>[ 91	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <92.000> Event <Results>[ 92	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <93.000> Event <Results>[ 93	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <94.000> Event <Results>[ 94	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <95.000> Event <Results>[ 95	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <96.000> Event <Results>[ 96	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <97.000> Event <Results>[ 97	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <98.000> Event <Results>[ 98	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <99.000> Event <Results>[ 99	 0/0	 0.000	 0.072	 0.000	 ]:
Node <1> Time <100.000> Event <Results>[ 100	 0/0	 0.000	 0.072	 0.000	 ]:
